l_name,l_team,l_pos,l_proj,l_points1,l_points2,l_points3,l_points4,l_points5,l_points6,l_points7,l_points8,l_points9,l_ppgcurrent,l_pointspg18,l_passydpg18,l_passtdpg18,l_passintpg18,l_rushydpg18,l_rushtdpg18,l_rush1stpg18,l_2ptpg18,l_fumblepg18,l_touchdown18,l_runnerQB18,l_pointspg17,l_passydpg17,l_passtdpg17,l_passintpg17,l_rushydpg17,l_rushtdpg17,l_rush1stpg17,l_2ptpg17,l_fumblepg17,l_touchdown17,l_runnerQB17,opp_1,opp_2,opp_3,opp_4,opp_5,opp_6,opp_7,opp_8,opp_9,opp_10,opp_11,opp_12,opp_13,opp_14,opp_15,opp_16,opp_17,good_opp,med_opp,bad_opp
Aaron Rodgers,GB,QB,25,12.92,14.36,13.30,28.48,9.42,19.32,42.76,28.10,12.94,20.18,20.53625,277.625,1.5625,0.125,16.8125,0.125,1.25,0.1875,0.1875,2.84765625,330.78515625,19.94285714,239.2857143,2.285714286,0.857142857,18,0,1.428571429,0,0.142857143,5.22448979722449,377.469387771755,1,2,1,2,1,3,3,2,1,2,0,1,3,2,1,2,3,4,6,6
Andy Dalton,Cin,QB,84,20.72,18.64,15.10,4.64,19.98,12.60,19.34,18.29,16.16,16.16,16.2309090909091,233.272727272727,1.90909090909091,1,9,0,0.363636363636364,0,0,3.64462809917356,87.6776859504132,13.73125,207.5,1.5625,0.75,6.1875,0,0.5625,0,0.25,2.44140625,45.5625,3,1,1,1,3,2,2,1,0,2,3,1,2,2,1,3,2,4,6,6
Baker Mayfield,Cle,QB,14,9.40,15.00,9.70,16.78,2.00,20.46,11.5566666666667,11.56,18.12,12.73,17.7214285714286,266.071428571429,1.92857142857143,1,9.35714285714286,0,0.571428571428571,0.142857142857143,0.214285714285714,3.71938775510205,98.5765306122449,16.55196005,232.5347053,1.542350088,0.833928571,13.58333673,0.10355447,0.932310745,0.078067766,0.178512074,2.968417476,384.3564906,2,2,1,2,1,3,0,1,1,1,1,3,1,3,3,2,3,5,4,7
Ben Roethlisberger,Pit,QB,58,9.74,3.00,0,0,0,0,2.12333333333333,0,0,1.65148148148148,21.805625,320.5625,2.125,1,6.125,0.1875,0.8125,0.25,0.125,5.34765625,50.765625,17.78266667,283.4,1.866666667,0.933333333,3.133333333,0,0.4,0.133333333,0.066666667,3.48444444568889,12.4844444420889,1,3,1,3,2,1,0,3,2,1,2,3,2,3,1,3,2,6,5,5
Cam Newton,Car,QB,10,5.36,11.32,0,0,0,0,2.78,0,0,2.16222222222222,22.1857142857143,242.5,1.71428571428571,0.928571428571429,34.8571428571429,0.285714285714286,2.57142857142857,0.142857142857143,0,3.99999999999998,1422.36734693878,20.8425,206.375,1.375,1,47.125,0.375,2.875,0.0625,0.0625,3.0625,2537.640625,1,3,3,3,2,3,0,1,2,1,3,2,2,3,3,2,2,7,6,3
Carson Wentz,Phi,QB,32,28.02,17.54,22.66,21.70,12.06,21.54,7.84,17.38,16.06,18.31,18.5027272727273,279.454545454545,1.90909090909091,0.636363636363636,8.45454545454545,0,0.818181818181818,0.0909090909090909,0.545454545454545,3.64462809917356,85.9834710743801,23.67230769,253.5384615,2.538461538,0.538461538,23,0,2,0.307692308,0.230769231,6.44378697990533,625,2,3,3,1,2,2,1,1,1,0,1,3,3,3,2,1,3,6,4,6
Case Keenum,Was,QB,120,27.20,16.74,12.58,0.52,0,15.64,3.08,3.20,0,8.77333333333333,18.00640449,247.3537055,1.644648952,0.6998242829,13.8711702,0.1255305706,1.122972613,0.09300015461,0.20968694,3.487111581,378.5984517,16.57962696,232.9788001,1.571763196,0.7475585426,13.19792054,0.1031693945,0.9290396608,0.06823816071,0.1866030849,3.083280067,391.1370303,2,1,1,3,1,3,1,2,1,0,2,3,2,1,2,3,1,4,5,7
Dak Prescott,Dal,QB,28,35.40,30.66,21.54,8.62,25.22,17.22,20.56,22.7457142857143,22.48,22.72,18.68125,242.8125,1.375,0.5,19.0625,0.375,1.5625,0.125,0.375,3.063,441,17.35375,207.75,1.375,0.8125,22.3125,0.375,1.8125,0,0.1875,3.0625,600.25,3,2,3,2,1,2,2,0,3,2,3,1,1,1,1,2,2,4,7,5
Derek Carr,Oak,QB,80,14.56,10.72,15.68,13.46,7.96,12.476,15.72,23.40,19.56,14.84,13.75375,253.0625,1.1875,0.625,2.9375,0.0625,0.3125,0.0625,0.4375,1.5625,10.9727,14.096,233.0666667,1.466666667,0.866666667,4.4,0,0.333333333,0.133333333,0.2,2.15111111208889,22.4044444412889,1,2,2,2,1,0,1,3,3,1,2,2,2,2,2,1,1,2,8,6
Deshaun Watson,Hou,QB,5,30.72,11.86,26.84,11.60,44.74,28.40,16.52,31.76,21.74,24.91,22.16875,260.3125,1.625,0.5625,34.4375,0.3125,2.0625,0,0.1875,3.75390625,1355.1602,25.55142857,242.7142857,2.714285714,1.142857143,38.42857143,0.285714286,2,0.285714286,0.142857143,9,1657.65306136408,2,2,1,2,3,2,2,3,2,0,2,2,1,1,2,3,2,3,10,3
Drew Brees,NO,QB,36,20.80,0.48,0.00,0.00,0.00,0.00,0.00,24.92,0,5.13333333333333,20.53,266.133333333333,2.13333333333333,0.333333333333333,1.46666666666667,0.266666666666667,0.733333333333333,0.0666666666666667,0.0666666666666667,5.75999999999998,6.08444444444446,16.5975,270.875,1.4375,0.5,0.75,0.125,0.4375,0,0,2.44140625,1.72265625,3,1,3,1,3,2,1,3,0,3,3,2,3,1,2,2,2,7,5,4
Eli Manning,NYG,QB,124,14.84,11.20,0,0,0,0,0,0,0,2.89333333333333,15.185,268.6875,1.3125,0.6875,1.25,0.0625,0.3125,0.1875,0.25,1.8906,2.640625,12.488,231.2,1.266666667,0.866666667,1.733333333,0.066666667,0.133333333,0,0.333333333,1.77777777955556,3.73777777648889,1,1,3,2,2,1,3,3,1,2,0,1,1,2,3,2,2,4,6,6
Gardner Minshew II,Jax,QB,914,17.60,18.12,17.96,16.72,23.16,4.62,23.00,26.96,10.76,17.66,18.00640449,247.3537055,1.644648952,0.6998242829,13.8711702,0.1255305706,1.122972613,0.09300015461,0.20968694,3.487111581,378.5984517,16.57962696,232.9788001,1.571763196,0.7475585426,13.19792054,0.1031693945,0.9290396608,0.06823816071,0.1866030849,3.083280067,391.1370303,2,3,2,1,2,2,3,2,3,0,2,2,3,1,3,3,2,6,8,2
Jacoby Brissett,Ind,QB,100,17.50,19.34,21.80,23.50,11.94,18.816,27.64,10.48,2.76,17.09,18.00640449,247.3537055,1.644648952,0.6998242829,13.8711702,0.1255305706,1.122972613,0.09300015461,0.20968694,3.487111581,378.5984517,16.57962696,232.9788001,1.571763196,0.7475585426,13.19792054,0.1031693945,0.9290396608,0.06823816071,0.1866030849,3.083280067,391.1370303,1,2,3,3,2,0,3,1,1,3,2,3,2,3,2,2,2,6,7,3
Jameis Winston,TB,QB,26,8.06,14.22,25.50,29.30,17.46,12.10,17.7733333333333,22.34,22.20,18.77,19.3436363636364,272,1.72727272727273,1.27272727272727,25.5454545454545,0.0909090909090909,1.72727272727273,0,0.272727272727273,3.30578512396695,748.76859504132,15.89692308,269.5384615,1.461538462,0.846153846,10.38461538,0.076923077,0.538461538,0.076923077,0.538461538,2.36686390698225,120.99999989,1,2,3,1,2,2,0,2,3,3,2,3,2,2,3,3,3,7,7,2
Jared Goff,LAR,QB,37,9.44,18.12,14.12,20.68,17.90,1.12,25.02,22.88,16.16,16.16,19.7075,293,2,0.75,6.75,0.125,0.5625,0.1875,0.3125,4.515625,55.31640625,17.084,253.6,1.866666667,0.466666667,3.4,0.066666667,0.2,0,0.2,3.73777778035556,13.4444444468889,2,2,2,3,3,1,3,3,0,1,1,2,3,3,1,1,3,7,4,5
Jimmy Garoppolo,SF,QB,48,10.44,23.64,11.38,15.1533333333333,14.94,12.12,8.04,13.00,28.88,15.2881481481481,18.00640449,247.3537055,1.644648952,0.6998242829,13.8711702,0.1255305706,1.122972613,0.09300015461,0.20968694,3.487111581,378.5984517,16.57962696,232.9788001,1.571763196,0.7475585426,13.19792054,0.1031693945,0.9290396608,0.06823816071,0.1866030849,3.083280067,391.1370303,3,3,1,0,2,1,2,2,3,3,3,1,2,2,3,1,3,7,5,4
Joe Flacco,Den,QB,107,14.82,15.68,7.02,22.02,8.98,4.98,6.52,8.86,0,9.88,16.3444444444444,273.888888888889,1.33333333333333,0.666666666666667,5,0,1.11111111111111,0,0.111111111111111,1.77777777777777,37.3456790123457,11.6275,196.3125,1.125,0.8125,3.375,0.0625,0.1875,0.0625,0,1.41015625,13.140625,3,1,1,2,1,2,2,2,2,0,2,1,2,3,2,3,3,4,8,4
Josh Allen,Buf,QB,68,16.96,21.22,21.32,8.72,19.46,17.536,23.28,20.26,18.60,18.60,18.00640449,247.3537055,1.644648952,0.6998242829,13.8711702,0.1255305706,1.122972613,0.09300015461,0.20968694,3.487111581,378.5984517,16.57962696,232.9788001,1.571763196,0.7475585426,13.19792054,0.1031693945,0.9290396608,0.06823816071,0.1866030849,3.083280067,391.1370303,2,2,3,1,2,0,3,2,2,2,3,1,1,2,1,1,2,3,8,5
Kirk Cousins,Min,QB,47,15.32,9.90,13.56,7.32,20.54,27.32,29.22,12.60,21.30,17.45,18.321875,268.625,1.875,0.625,7.6875,0.0625,0.75,0.1875,0.4375,3.75390625,72.25,17.91375,255.8125,1.6875,0.8125,11.1875,0.25,1.0625,0,0.3125,3.75390625,156.25,3,1,3,1,3,2,3,2,2,1,1,0,3,3,1,1,1,6,3,7
Kyler Murray,Ari,QB,55,21.62,16.36,22.82,16.34,27.42,31.80,8.96,10.10,24.04,19.94,18.0064044888643,247.353705471116,1.64464895223824,0.699824282859997,13.8711701988488,0.125530570619856,1.12297261270476,0.0930001546072975,0.209686940044083,3.48711158112745,378.598451705896,16.5796269581786,232.978800068214,1.57176319603571,0.747558542571429,13.19792054375,0.103169394535714,0.92903966075,0.0682381607142857,0.186603084928571,3.08328006696123,391.137030337569,3,2,2,3,3,3,3,2,1,3,1,0,1,1,2,3,1,7,4,5
Lamar Jackson,Bal,QB,12,33.56,36.88,22.28,29.48,15.44,34.64,27.32,28.5142857142857,29.62,28.64,12.03375,75.0625,0.375,0.1875,43.4375,0.3125,2.8125,0,0.25,0.47265625,2168.0664,16.55196005,232.5347053,1.542350088,0.833928571,13.58333673,0.10355447,0.932310745,0.078067766,0.178512074,2.968417476,384.3564906,3,3,2,2,1,3,3,0,1,3,3,1,1,1,2,2,1,6,4,6
Marcus Mariota,Ten,QB,74,25.32,14.36,17.56,24.28,8.62,1.08,0.00,0.00,0,10.14,14.1585714285714,180.571428571429,0.785714285714286,0.571428571428571,25.5,0.142857142857143,1.85714285714286,0,0.142857142857143,0.862244897959185,756.25,14.832,215.4666667,0.866666667,1,20.8,0.333333333,1.466666667,0,0.066666667,1.44,510.76,2,2,2,3,1,1,1,3,2,2,0,2,2,3,3,2,3,5,8,3
Matt Ryan,Atl,QB,54,19.56,19.10,22.46,16.68,30.90,30.94,2.56,0,0,15.80,22.924375,307.75,2.1875,0.4375,7.8125,0.1875,0.9375,0.125,0.3125,5.6406,79.8789,14.94375,255.9375,1.25,0.75,8.9375,0,0.6875,0,0.1875,1.5625,92.640625,2,2,2,2,3,3,1,3,0,2,2,3,2,2,1,2,3,5,9,2
Matthew Stafford,Det,QB,79,29.60,16.10,12.14,24.44,20.57,12.50,28.56,3.38,24.84,19.13,13.76125,236.0625,1.3125,0.6875,4.4375,0,0.5,0,0.25,1.72265625,24.37890625,17.665,277.875,1.8125,0.625,6.125,0,0.5625,0.125,0.4375,3.28515625,44.72265625,3,1,2,2,0,1,2,3,3,1,1,2,1,2,3,1,1,4,5,7
Mitchell Trubisky,Chi,QB,30,9.22,5.60,19.44,0.36,0,6.924,20.04,8.12,7.50,8.57822222222222,20.43,230.214285714286,1.71428571428571,0.857142857142857,30.0714285714286,0.214285714285714,2.07142857142857,0.285714285714286,0.214285714285714,3.71938775510202,1046.98469387755,11.87666667,182.75,0.583333333,0.583333333,20.66666667,0.166666667,1,0.083333333,0.25,0.5625,476.694444604556,1,1,2,2,3,0,2,1,2,3,1,3,3,1,1,2,2,4,6,6
Nick Foles,Jax,QB,76,7.00,0,0,0,0,0,0,0,0,0.777777777777778,16.578,282.6,1.4,0.8,3.4,0,1.2,0,0.4,1.96,21.16,4.968571429,76.71428571,0.714285714,0.285714286,0.428571429,0,0.142857143,0,0.285714286,0.51020408122449,0.326530612897959,2,3,2,1,2,2,3,2,3,0,2,2,3,1,3,3,2,6,8,2
Patrick Mahomes,KC,QB,4,27.32,31.62,28.86,22.00,19.54,18.82,8.24,0,0,17.38,26.9425,318.5625,3.125,0.75,17,0.125,1.125,0.0625,0.125,10.563,333.0625,16.55196005,232.5347053,1.542350088,0.833928571,13.58333673,0.10355447,0.932310745,0.078067766,0.178512074,2.968417476,384.3564906,2,3,2,3,2,3,1,1,2,2,1,0,3,1,1,1,1,4,5,7
Philip Rivers,LAC,QB,51,24.92,11.92,19.62,20.40,4.14,14.80,21.16,10.04,11.76,15.42,17.87625,269.25,2,0.75,0.4375,0,0.0625,0.3125,0.0625,4,0.25,16.9625,282.1875,1.75,0.625,0.125,0,0.0625,0,0.0625,3.0625,0.00390625,2,3,3,3,1,1,2,1,1,3,2,0,1,2,2,3,2,5,6,5
Robert Griffin III,Bal,QB,543,7.10,7.10,0,0,0,0,0,2.02857142857143,0,1.8031746031746,18.00640449,247.3537055,1.644648952,0.6998242829,13.8711702,0.1255305706,1.122972613,0.09300015461,0.20968694,3.487111581,378.5984517,16.57962696,232.9788001,1.571763196,0.7475585426,13.19792054,0.1031693945,0.9290396608,0.06823816071,0.1866030849,3.083280067,391.1370303,3,3,2,2,1,3,3,0,1,3,3,1,1,1,2,2,1,6,4,6
Russell Wilson,Sea,QB,17,16.60,25.20,41.34,14.30,31.92,28.90,16.34,15.68,40.22,25.61,20.174375,215.5,2.1875,0.4375,23.5,0,1.4375,0.0625,0.125,4.78515625,621.87890625,23.5575,248.9375,2.125,0.6875,36.625,0.1875,2.1875,0.125,0.1875,5.34765625,1521,3,1,2,3,1,2,2,3,3,1,0,2,2,1,2,3,1,5,6,5
Ryan Fitzpatrick,Mia,QB,103,11.20,0.84,1.16,0,2.88,10.78,20.58,12.30,23.72,9.27333333333333,21.355,295.75,2.125,1.5,19,0.25,1.125,0.125,0.125,5.640625,415.140625,13.15333333,183.8333333,1.166666667,0.5,13,0,0.833333333,0,0,1.36111111188889,191.361111101889,2,1,1,1,0,2,1,1,2,2,1,2,2,2,3,3,1,2,7,7
Sam Darnold,NYJ,QB,78,13.00,0,0,0,0,20.62,6.66,12.62,12.50,7.26666666666667,14.0307692307692,220.384615384615,1.30769230769231,1.15384615384615,10.6153846153846,0.0769230769230769,1.23076923076923,0,0.153846153846154,1.91715976331362,142.159763313609,16.55196005,232.5347053,1.542350088,0.833928571,13.58333673,0.10355447,0.932310745,0.078067766,0.178512074,2.968417476,384.3564906,1,2,1,0,2,1,1,2,3,3,2,3,3,3,2,1,1,5,5,6
Taysom Hill,NO,QB,317,11.40,4.07,2.83,2.60,3.12,2.70,13.37,18.20,7.29,7.29,4.951875,4,0,0.0625,12.25,0.125,0.9375,0,0.0625,0.015625,177.22265625,16.55196005,232.5347053,1.542350088,0.833928571,13.58333673,0.10355447,0.932310745,0.078067766,0.178512074,2.968417476,384.3564906,3,1,3,1,3,2,1,3,0,3,3,2,3,1,2,2,2,7,5,4
Tom Brady,NE,QB,33,25.64,23.66,20.14,3.70,23.92,20.96,11.96,18.36,13.40,17.97,17.94375,272.1875,1.8125,0.6875,2.1875,0.125,0.625,0,0.125,3.75390625,8.62890625,18.93,286.0625,2,0.5,1.75,0,0.4375,0.125,0.1875,4,4.78515625,1,3,2,1,2,3,2,2,2,0,2,1,3,2,3,1,3,5,7,4