l_name,l_team,l_pos,l_proj,l_points1,l_points2,l_points3,l_points4,l_points5,l_points6,l_points7,l_points8,l_points9,l_ppgcurrent,l_pointspg18,l_passydpg18,l_passtdpg18,l_passintpg18,l_rushydpg18,l_rushtdpg18,l_rush1stpg18,l_receptspg18,l_recydspg18,l_rectdpg18,l_rec1stpg18,l_touchdown18,l_ppr18,opp_1,opp_2,opp_3,opp_4,opp_5,opp_6,opp_7,opp_8,opp_9,opp_10,opp_11,opp_12,opp_13,opp_14,opp_15,opp_16,opp_17,good_opp,med_opp,bad_opp
Todd Gurley II,LAR,RB,35,15.97,18.57,5.30,23.20,18.50,0,17.97,12.40,13.98,13.9877777777778,30.1978571428571,0,0,0,103.571428571429,1.14285714285714,4.71428571428571,3.42857142857143,31.4285714285714,0,1.57142857142857,1.30612244897959,11.75510204081630,3,1,3,1,1,1,2,3,0,2,2,1,2,1,2,1,2,3,6,7
Christian McCaffrey,Car,RB,3,46.20,10.77,29.63,38.03,53.67,22.83,33.5216666666667,29.23,42.93,34.0901851851852,28.0375,0,0,0,103,1.16666666666667,3.66666666666667,5.83333333333333,50.8333333333333,0.333333333333333,3,2.25000000000001,34.02777777777770,2,1,2,2,1,1,0,1,2,3,2,1,3,2,1,1,1,2,6,8
Alvin Kamara,NO,RB,1,28.50,8.50,42.03,17.23,21.52,13.43,0,0,16.40,16.4011111111111,27.958,0,0,0,0,0,0,8.85714285714286,109,0.428571428571429,5.28571428571429,0.183673469387755,78.44897959183680,2,2,1,2,1,1,2,2,0,2,1,3,2,1,1,2,3,2,8,6
Saquon Barkley,NYG,RB,2,23.27,25.57,7.80,0,0,0,18.73,34.67,16.27,14.0344444444444,26.735625,0,0,0,35.4285714285714,0.428571428571429,2.42857142857143,7,69.7142857142857,0.571428571428571,3.14285714285714,1,49,2,2,1,3,1,1,2,3,2,3,0,2,3,1,2,3,1,5,6,5
Ezekiel Elliott,Dal,RB,31,13.97,23.70,24.43,16.50,20.13,31.70,30.50,22.99,21.9,22.8688888888889,26.68,0,0,0,0,0,0,7.16666666666667,110.333333333333,1,6.33333333333333,1,51.36111111111120,2,3,3,1,3,3,1,0,2,1,3,1,2,2,2,1,3,6,5,5
Davante Adams,GB,WR,16,9.40,21.07,10.73,29.00,0,0,0,0,12.73,9.21444444444444,24.8933333333333,0,0,0,7,0,0.428571428571429,2.28571428571429,16,0,0.571428571428571,0,5.22448979591839,1,3,1,2,1,3,3,1,2,2,0,1,3,2,1,3,3,6,4,6
Tyreek Hill,KC,WR,6,4.57,0,0,0,0,29.33,16.93,16.57,29.83,10.8033333333333,24.625,0,0,0,0,0,0,2,18.5714285714286,0.142857142857143,1.14285714285714,0.0204081632653062,4,2,3,2,3,2,3,1,1,3,1,2,0,3,1,1,1,2,5,5,6
James Conner,Pit,RB,29,11.03,13.10,11.23,33.73,11.50,36.30,19.4816666666667,29.83,0,18.4668518518519,24.4176923076923,0,0,0,86,0.857142857142857,5,3.42857142857143,25.1428571428571,0,1.14285714285714,0.73469387755102,11.75510204081630,1,1,1,3,1,2,0,3,1,2,3,3,3,2,2,3,1,6,4,6
DeAndre Hopkins,Hou,WR,8,37.40,10.67,13.47,6.73,17.87,21.67,31.07,26.37,22.80,20.8944444444444,24.00625,0,0,0,0,0,0,1.4,28.6,0.4,1,0.16,2.0,2,2,2,2,3,1,2,3,2,0,2,2,1,1,1,3,1,3,8,5
Julio Jones,Atl,WR,15,20.07,32.07,31.53,10.57,7.80,21.20,16.20,29.13,21.07,21.0711111111111,22.9375,0,0,0,17.1666666666667,0.166666666666667,1,1.33333333333333,10.8333333333333,0,0.666666666666667,0.0277777777777779,1.77777777777777,3,2,2,1,3,3,2,2,0,2,2,3,2,2,1,2,3,5,9,2
Michael Thomas,NO,WR,7,24.20,19.93,20.60,18.33,48.13,17.93,24.73,33.57,25.9275,25.9275,22.604375,0,0,0,11.1428571428571,0,0.428571428571429,0.428571428571429,2.71428571428571,0,0.142857142857143,0,0.183673469387755,3,2,2,1,3,2,1,3,0,3,3,2,3,1,2,1,2,6,6,4
Odell Beckham Jr.,Cle,WR,20,14.73,28.73,12.73,4.33,5.50,16.73,13.7916666666667,10.47,14.30,13.4790740740741,22.1891666666667,0,0,0,0,0,0,2.5,30.75,0.25,1,0.0625,6.3,1,3,2,2,1,2,0,1,1,1,3,2,3,1,3,2,1,4,5,7
Adam Thielen,Min,WR,27,15.87,12.00,21.77,2.40,38.67,20.80,11.67,0,0,13.6866666666667,22.158125,0,0,0,27.4,0,1.2,1.8,11.6,0,0.6,0,3.2,3,1,3,1,3,2,3,2,1,1,1,0,2,3,2,1,1,5,4,7
Julian Edelman,NE,WR,34,18.61,8.50,24.13,6.00,28.33,21.53,17.03,32.90,18.93,19.5511111111111,21.2075,0,0,0,0,0,0,1.71428571428571,21.8571428571429,0,1,0,2.93877551020407,3,2,3,1,2,3,3,2,2,0,2,1,3,1,1,1,2,5,6,5
Travis Kelce,KC,TE,38,10.87,28.13,17.93,18.67,12.67,10.87,11.93,20.20,15.13,16.2666666666667,21.129375,0,0,0,0,0,0,6.25,94.5,0,5,0,39.06,2,3,1,3,3,2,2,3,2,2,1,0,3,1,2,3,1,6,6,4
Joe Mixon,Cin,RB,41,3.47,7.37,23.27,13.27,16.37,5.93,10.33,25.33,13.1675,13.1675,20.9664285714286,0,0,0,0.571428571428571,0,0,7.28571428571429,81.7142857142857,0.571428571428571,3.57142857142857,0.326530612244897,53.08163265306130,1,1,2,2,2,1,1,2,0,1,2,2,3,3,1,3,3,4,6,6
JuJu Smith-Schuster,Pit,WR,11,15.20,14.60,17.40,4.00,21.00,1.47,12.28,23.87,5.07,12.77,20.773125,0,0,0,25.6666666666667,0.333333333333333,1.66666666666667,0.166666666666667,1.66666666666667,0,0,0.111111111111111,0.027777777777778,1,2,1,1,2,2,0,2,2,2,2,1,2,3,1,3,2,2,9,5
Zach Ertz,Phi,TE,56,11.60,16.80,11.27,16.33,18.80,7.60,6.53,4.33,31.87,13.9033333333333,20.220625,0,0,0,0,0,0,2.57142857142857,30.5714285714286,0.428571428571429,1.85714285714286,0.183673469387755,6.61224489795918,2,2,3,3,1,2,3,1,3,0,1,3,2,1,2,3,1,6,5,5
Mike Evans,TB,WR,21,5.87,11.07,51.67,20.93,0,22.40,18.6566666666667,48.20,44,24.7551851851852,20.1625,0,0,0,0,0,0,1.71428571428571,17.2857142857143,0.142857142857143,1,0.0204081632653062,2.93877551020407,1,2,3,2,2,2,0,1,2,3,2,3,2,2,3,3,3,6,8,2
Stefon Diggs,Min,WR,61,5.47,11.27,5.00,15.20,7.93,49.93,22.53,18.53,3.47,15.4811111111111,20.1513333333333,0,0,0,0,0,0,2.16666666666667,29.3333333333333,0,1.5,0,4.69444444444446,3,1,3,1,3,2,3,2,1,1,1,0,2,3,2,1,1,5,4,7
James White,NE,RB,73,15.33,15.27,0,0,16.67,16.97,12.93,10.40,16.87,11.6044444444444,19.723125,0,0,0,102.142857142857,0.142857142857143,4.57142857142857,4,29,0,1.85714285714286,0.0204081632653062,16,2,3,3,2,3,2,3,3,1,0,1,2,2,3,3,2,3,8,6,2
Tyler Lockett,Sea,WR,23,12.93,20.27,43.17,11.20,20.90,16.40,16.77,19.77,50.63,23.56,19.614375,0,0,0,0.166666666666667,0.166666666666667,0.166666666666667,2.66666666666667,21.6666666666667,0,0.5,0.0277777777777779,7.11111111111113,1,3,2,3,2,2,2,3,3,1,0,2,3,2,2,3,1,6,7,3
Cooper Kupp,LAR,WR,128,13.07,17.60,39.73,28.87,30.80,5.13,11.33,36.67,22.9,22.9,19.57875,0,0,0,0,0,0,1.16666666666667,10.1666666666667,0,0.666666666666667,0,1.36111111111112,2,2,2,3,2,1,3,1,0,3,1,2,3,2,1,1,3,5,6,5
Robert Woods,LAR,WR,63,18.27,6.10,10.47,33.93,10.20,6.60,14.93,6.00,13.3125,13.3125,19.373125,0,0,0,51,0.333333333333333,2,1.66666666666667,9.33333333333333,0,0,0.111111111111111,2.77777777777779,2,2,2,3,2,1,3,1,0,3,1,2,3,2,1,1,3,5,6,5
Tarik Cohen,Chi,RB,69,16.87,6.97,4.83,14.17,17.80,12.128,12.87,13.37,7.90,11.8786666666667,19.129375,0,0,0,1.14285714285714,0,0,5.71428571428571,73.5714285714286,0.571428571428571,3.57142857142857,0.326530612244897,32.65306122448970,3,2,3,1,2,0,1,2,1,3,2,2,3,2,3,3,1,6,6,4
T.Y. Hilton,Ind,WR,86,32.80,16.87,23.33,0,9.47,16.494,23.93,6.60,0,14.3882222222222,18.8478571428571,0,0,0,0,0,0,1.142857143,14.71428571,0.142857143,1,0.020408163,1.306122449,2,1,3,3,1,0,3,1,3,2,2,3,1,3,2,2,2,6,6,4
Keenan Allen,LAC,WR,40,29.20,21.53,49.50,9.20,8.20,6.20,12.07,12.53,7.67,17.3444444444444,18.795625,0,0,0,18,1,2,,,,,,,2,3,3,2,1,3,1,1,1,3,1,0,1,2,3,3,1,6,3,7
Phillip Lindsay,Den,RB,85,12.83,15.60,29.37,8.77,27.60,16.33,6.33,15.03,16.20,16.4511111111111,18.6246666666667,0,0,0,0,0,0,5.42857142857143,88.7142857142857,0.714285714285714,3.57142857142857,0.510204081632653,29.46938775510210,2,2,3,1,2,2,3,1,3,0,1,2,2,2,3,3,2,5,8,3
David Johnson,Ari,RB,9,29.87,8.40,26.57,24.60,24.43,31.93,0.20,0,0,16.2222222222222,18.545625,0,0,0,81.2857142857143,0.285714285714286,5.14285714285714,3.14285714285714,21.2857142857143,0.285714285714286,0.857142857142857,0.326530612244899,9.87755102040815,3,1,3,1,3,2,2,1,1,1,1,0,2,2,3,1,2,4,5,7
Tyler Boyd,Cin,WR,75,15.30,24.13,14.53,7.20,31.10,3.67,8.67,13.63,14.77875,14.77875,18.2021428571429,0,0,0,27,0,0.666666666666667,3,11.3333333333333,0.333333333333333,0.666666666666667,0.111111111111111,9,2,1,1,3,3,2,2,2,0,2,3,3,3,2,1,2,2,5,8,3
Emmanuel Sanders,SF,WR,99,21.73,32.53,3.67,15.93,2.60,1.00,12.00,16.67,28.47,14.9555555555556,17.8575,0,0,0,47.3333333333333,0,1.66666666666667,2,4.33333333333333,0,0,0,4,3,2,3,0,1,1,1,1,3,2,3,1,2,2,3,2,2,5,6,5
George Kittle,SF,TE,62,15.60,8.60,12.80,12.33,25.47,18.87,8.53,16.73,22.27,15.6892592592593,17.7375,0,0,0,0,0,0,6,85.6666666666667,0.666666666666667,5,0.444444444444445,36,3,1,3,0,2,2,2,1,3,3,3,3,1,1,2,2,3,7,5,4
Marlon Mack,Ind,RB,81,34.40,12.90,20.33,5.90,24.27,19.56,8.20,19.53,14.90,17.7766666666667,17.6391666666667,0,0,0,67.1428571428571,1,4,1.71428571428571,13.7142857142857,0,0.857142857142857,1,2.93877551020407,3,2,2,2,3,0,2,2,2,3,1,2,2,1,1,3,1,4,8,4
Chris Carson,Sea,RB,57,27.87,13.80,5.07,27.13,30.13,29.73,15.10,19.00,16.37,20.4666666666667,17.5692857142857,0,0,0,0.142857142857143,0,0,5.71428571428571,80,0.571428571428571,4.28571428571429,0.326530612244897,32.65306122448970,3,2,1,2,2,3,1,2,1,1,0,1,1,2,3,2,1,3,6,7
Leonard Fournette,Jax,RB,39,15.47,16.37,17.33,35.83,28.73,21.27,25.03,22.60,15.13,21.9733333333333,17.40375,0,0,0,0,0,0,4.16666666666667,64.1666666666667,0.666666666666667,3.66666666666667,0.444444444444445,17.36111111111110,3,2,2,2,3,1,3,3,2,0,1,2,1,2,2,2,1,4,8,4
Will Fuller V,Hou,WR,117,8.60,8.67,12.40,5.53,59.47,9.93,1.40,0,0,11.7777777777778,17.2185714285714,0,0,0,0,0,0,1.5,10,0,0,0,2.3,2,2,2,2,3,1,2,3,2,0,2,2,1,1,1,3,1,3,8,5
Kerryon Johnson,Det,RB,46,10.77,22.23,13.07,22.63,17.175,14.20,2.30,0,0,11.375,17.13,0,0,0,42,0,2.28571428571429,3.85714285714286,29.8571428571429,0.428571428571429,1.14285714285714,0.183673469387755,14.87755102040820,2,2,1,3,0,3,1,2,2,2,2,3,2,1,1,2,3,4,8,4
Brandin Cooks,LAR,WR,64,6.60,19.13,24.27,14.73,7.63,6.60,10.93,0,11.2365,11.2362777777778,17.004375,0,0,0,0,0,0,1.71428571428571,15.5714285714286,0.142857142857143,0.428571428571429,0.0204081632653062,2.93877551020407,2,2,2,3,2,1,3,1,0,3,1,2,3,2,1,1,3,5,6,5
Aaron Jones,GB,RB,65,5.90,28.87,15.17,17.57,51.70,8.57,24.20,47.30,4.93,22.69,16.9608333333333,0,0,0,72.2857142857143,0.714285714285714,4,1,17.1428571428571,0.142857142857143,0.285714285714286,0.73469387755102,1,2,1,2,1,2,3,2,3,2,3,0,1,2,3,2,1,3,5,7,4
Alshon Jeffery,Phi,WR,88,25.47,0.00,0.00,16.53,12.47,30.07,6.53,12.27,10.40,12.6377777777778,16.7076923076923,0,0,0,9,0,0.4,2,20,0,1,0,4,2,3,3,1,3,3,1,1,1,0,1,2,2,3,2,1,3,6,4,6
Amari Cooper,Dal,WR,49,26.07,16.93,32.87,10.20,41.07,1.20,16.07,20.63,19.33,20.4855555555556,16.6666666666667,0,0,0,8.14285714285714,0,0.428571428571429,2,8.71428571428571,0,0.285714285714286,0,4,3,2,2,2,1,3,2,0,3,3,3,1,1,1,2,2,2,5,7,4
Dalvin Cook,Min,RB,13,26.70,30.87,27.20,19.83,29.93,16.97,33.67,32.67,19.10,26.3266666666667,16.2572727272727,0,0,0,61.8571428571429,0.571428571428571,2.85714285714286,2.85714285714286,20.4285714285714,0,1.14285714285714,0.326530612244897,8.16326530612247,2,3,2,2,2,1,3,3,3,2,2,0,1,3,2,3,2,6,8,2
Kenyan Drake,Mia,RB,126,5.20,9.83,11.07,12.33,0,15.50,8.57,0,34.47,10.7744444444444,16.225,0,0,0,0,0,0,6.57142857142857,75.1428571428571,0.571428571428571,3.71428571428571,0.326530612244897,43.18367346938770,3,1,3,1,3,2,2,1,1,1,1,0,2,2,3,1,2,4,5,7
Kenny Golladay,Det,WR,66,17.80,30.80,4.13,30.47,20.8,18.07,3.40,33.20,24.80,20.3855555555556,15.8446666666667,0,0,0,1.42857142857143,0,0.142857142857143,1.28571428571429,23,0,0.571428571428571,0,1.65306122448981,3,2,2,1,0,1,3,3,3,1,1,2,1,3,3,1,1,6,3,7
Calvin Ridley,Atl,WR,98,20.27,29.00,2.40,6.13,22.87,18.20,8.00,14.67,15.1925,15.1925,15.276875,0,0,0,0,0,0,1.71428571428571,20.7142857142857,0,0.857142857142857,0,2.93877551020407,3,2,2,1,3,3,2,2,0,2,2,3,2,2,1,2,3,5,9,2
Jakeem Grant,Mia,WR,93,4.70,9.47,9.90,13.40,9.3675,0,0,14.43,10.80,8.0075,15.267,0,0,0,0,0,0,0.6,10,0,0.6,0,0.4,2,1,1,2,0,2,1,3,3,2,1,2,2,3,3,1,1,4,6,6
Marvin Jones Jr.,Det,WR,106,11.13,9.87,25.73,11.13,14.465,4.13,55.20,5.47,30.40,18.6138888888889,15.0966666666667,0,0,0,18,0,0,3,20,0,1,0,9,3,2,2,1,0,1,3,3,3,1,1,2,1,3,3,1,1,6,3,7
Jarvis Landry,Cle,WR,90,12.47,10.93,10.13,24.13,13.00,6.90,12.9266666666667,13.33,21.40,13.912962962963,14.986875,0,0,0,0,0,0,0.2,0.8,0,0,0,0.0,1,3,2,2,1,2,0,1,1,1,3,2,3,1,3,2,1,4,5,7
Tevin Coleman,SF,RB,83,8.50,0,0,13.18,18.70,15.57,10.13,39.37,9.17,12.7355555555556,14.8375,0,0,0.142857142857143,0,0,0,7,72.5714285714286,0.428571428571429,4.57142857142857,0.183673469387755,49,1,3,2,0,3,2,3,3,2,1,2,3,1,1,2,2,1,5,6,5
Dede Westbrook,Jax,WR,67,17.20,1.50,10.57,12.90,18.17,9.53,20.77,2.20,0,10.3155555555556,14.80625,0,0,0,18.1666666666667,0,0.5,1.16666666666667,12.1666666666667,0,0.166666666666667,0,1.36111111111112,1,3,1,1,2,2,1,3,3,0,2,1,3,2,3,3,2,6,5,5
Sony Michel,NE,RB,113,4.40,17.30,6.10,8.30,24.23,17.40,23.67,12.40,5.60,13.2666666666667,14.6253846153846,0,0,0,0.666666666666667,0,0,5,64.5,0.833333333333333,3.5,0.694444444444444,25,2,3,3,2,3,2,3,3,1,0,1,2,2,3,3,2,3,8,6,2
Nick Chubb,Cle,RB,24,14.17,21.60,20.93,38.70,13.50,28.33,22.8716666666667,16.57,17.23,21.5446296296296,14.345625,0,0,0,101.166666666667,1,3.33333333333333,3.33333333333333,21.3333333333333,0,1,1,11.11111111111110,2,3,2,1,1,1,0,1,2,2,2,3,2,3,2,1,3,4,7,5
Derrick Henry,Ten,RB,89,31.40,22.00,12.53,17.53,15.80,4.13,20.20,10.03,28.70,18.0355555555556,14.31625,0,0,0,2.85714285714286,0,0.142857142857143,4.71428571428571,83,0.714285714285714,3.14285714285714,0.510204081632653,22.22448979591830,3,1,1,2,2,2,2,1,3,3,0,1,1,2,2,1,2,3,7,6
Matt Breida,SF,RB,102,6.70,18.83,14.13,14.076,30.40,13.40,6.57,8.50,12.73,13.9262222222222,14.2714285714286,0,0,0,0.142857142857143,0.142857142857143,0.142857142857143,3.85714285714286,55.8571428571429,0.857142857142857,2.42857142857143,1,14.87755102040820,1,3,2,0,3,2,3,3,2,1,2,3,1,1,2,2,1,5,6,5
Austin Ekeler,LAC,RB,52,45.20,24.07,18.60,36.13,25.43,7.33,28.57,12.57,17.53,23.9366666666667,14.1664285714286,0,0,0,2.57142857142857,0,0.142857142857143,4.28571428571429,80.2857142857143,0.571428571428571,2.71428571428571,0.326530612244897,18.36734693877550,1,3,2,3,2,2,2,2,3,2,3,0,2,1,1,2,3,5,8,3
O.J. Howard,TB,TE,92,6.13,0,10.40,7.20,2.67,5.33,5.28833333333333,0,0,4.11314814814815,13.967,0,0,0,4.5,0,0.25,6,60.5,0,3.25,0,36,1,1,1,3,1,1,0,2,3,3,1,2,2,3,3,2,2,5,5,6
DeSean Jackson,Phi,WR,136,40.27,0,0,0,0,0,0,0,1.33,4.62222222222222,13.9083333333333,0,0,0,8.28571428571429,0,0.428571428571429,0.571428571428571,5.85714285714286,0,0.285714285714286,0,0.326530612244897,2,3,3,1,3,3,1,1,1,0,1,2,2,3,2,1,3,6,4,6
Jared Cook,NO,TE,112,6.47,5.67,1.47,4.40,17.73,16.47,0,0,6.5265,6.52627777777778,13.858125,0,0,0,13.1666666666667,0,0.5,4.5,46,0,1.5,0,20.3,2,2,3,3,3,2,3,3,0,2,3,1,2,1,3,2,1,7,6,3
Mark Ingram II,Bal,RB,71,21.70,13.70,38.43,11.10,14.73,20.67,7.07,18.2,19.43,18.3366666666667,13.8191666666667,0,0,0,0,0,0,4.5,77.3333333333333,0.666666666666667,3.33333333333333,0.444444444444445,20.3,3,2,3,3,2,3,1,0,1,3,2,2,1,2,3,3,2,7,6,3
Chris Godwin,TB,WR,70,17.53,29.07,8.67,51.47,38.33,28.07,28.8566666666667,11.87,12.87,25.192962962963,13.695625,0,0,0,24.5,0.25,0.5,0.75,8.5,0,0.25,0.0625,0.56,1,2,3,2,2,2,0,1,2,3,2,3,2,2,3,3,3,6,8,2
Jordan Howard,Phi,RB,170,9.13,5.33,10.70,36.57,14.20,5.90,10.40,19.60,18.27,14.4555555555556,13.573125,2.16666666666667,0,0,62.1666666666667,0.166666666666667,3,5.5,46,0.166666666666667,2,0.111111111111112,30.3,3,2,3,3,3,1,2,2,2,0,1,1,3,2,3,2,2,6,7,3
Curtis Samuel,Car,WR,105,7.13,14.27,20.53,6.23,8.77,25.47,13.7333333333333,10.07,20.27,14.0525925925926,13.4023076923077,0,0,0,7.42857142857143,0,0.285714285714286,0.285714285714286,2,0.142857142857143,0.142857142857143,0.0204081632653062,0.081632653061225,2,3,3,3,2,3,0,1,1,1,3,2,2,3,2,2,2,6,7,3
Mike Williams,LAC,WR,82,4.93,11.53,9.00,0,14.93,14.80,10.13,9.60,12.60,9.72444444444444,13.379375,0,0,0,11.8,0,0.4,1,4.2,0,0.2,0,1,2,3,3,2,1,3,1,1,1,3,1,0,1,2,3,3,1,6,3,7
Larry Fitzgerald,Ari,WR,116,26.53,14.93,18.40,11.13,12.87,13.60,2.80,3.53,7.53,12.3688888888889,13.263125,0,0,0,0,0,0,1,19,0.166666666666667,0.666666666666667,0.0277777777777779,1,3,2,2,2,1,3,3,2,1,3,1,0,2,3,2,2,2,5,8,3
Sterling Shepard,NYG,WR,94,11.80,0,29.77,20.37,11.07,0,0,0,0,8.11222222222222,13.258125,0,0,0,7.16666666666667,0.333333333333333,1,0.5,4.83333333333333,0,0.333333333333333,0.111111111111111,0.3,1,1,3,2,3,1,3,3,1,3,0,1,1,2,2,2,2,5,5,6
Allen Robinson II,Chi,WR,96,18.80,8.73,14.00,17.13,35.47,18.826,28.80,11.13,1.40,17.1428888888889,13.2438461538462,0,0,0,0,0,0,1.5,12.3333333333333,0,0.5,0,2.3,1,1,2,3,3,0,2,2,2,3,2,3,3,1,1,1,3,6,5,5
Alex Armah,Car,RB,612,5.10,0,1.53,0,1.27,0.40,1.38333333333333,0,0,1.07592592592593,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,2,1,2,2,1,1,0,1,2,3,2,1,3,2,1,1,1,2,6,8
Alexander Mattison,Min,RB,338,6.90,4.50,12.80,3.03,7.20,6.30,1.80,10.30,0.60,5.93666666666667,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,2,3,2,2,2,1,3,3,3,2,2,0,1,3,2,3,2,6,8,2
D'Ernest Johnson,Cle,RB,340,7.13,7.60,0,1.30,1.40,0,2.905,0,17.43,4.19611111111111,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,2,3,2,1,1,1,0,1,2,2,2,3,2,3,2,1,3,4,7,5
Dare Ogunbowale,TB,RB,260,6.20,1.60,4.53,4.07,7.30,10.77,5.745,2.00,7.90,5.56833333333333,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,1,3,2,2,1,3,0,2,1,2,1,2,1,1,3,2,2,3,7,6
